City1,City2
Vallampadugai,Tiruchirappalli
"Nagzira Wildlife Sanctuary",Raipur
"Nagzira Wildlife Sanctuary",Hyderabad
"Nagzira Wildlife Sanctuary",Nagpur
Rayagada,Raipur
Rayagada,Visakhapatnam
Rayagada,Bhubaneshwar
Rayagada,Hyderabad
Nelamangala,Coimbatore
Nelamangala,Tirupati
Nelamangala,Kozhikode
Nelamangala,Bengaluru
Angadipuram,Coimbatore
Angadipuram,Kozhikode
Angadipuram,Madurai
Angadipuram,Bengaluru
Angadipuram,Tiruchirappalli
Angadipuram,Mangalore
Angadipuram,Thiruvananthapuram
Angadipuram,Kochi
Kadambur,Coimbatore
Kadambur,Madurai
Kadambur,Bengaluru
Kadambur,Tiruchirappalli
Kadambur,Thiruvananthapuram
Kadambur,Kochi
Kundapur,Kozhikode
Kundapur,Bengaluru
Kundapur,Dabolim
Kundapur,Mangalore
Guruvayankere,Coimbatore
Guruvayankere,Kozhikode
Guruvayankere,Bengaluru
Guruvayankere,Mangalore
Kuberpur,Dehradun
Kuberpur,Lucknow
Kuberpur,Jaipur
Kuberpur,Chandigarh
Kuberpur,"New Delhi"
Umariya(Sidhi),Raipur
Umariya(Sidhi),Patna
Umariya(Sidhi),Bhopal
Umariya(Sidhi),Lucknow
Umariya(Sidhi),Ranchi
Umariya(Sidhi),Gaya
Umariya(Sidhi),"New Delhi"
Umariya(Sidhi),Varanasi
Umariya(Sidhi),Nagpur
Kucharam,Hyderabad
"Lauria Nandangarh",Bagdogra
"Lauria Nandangarh",Patna
"Lauria Nandangarh",Lucknow
"Lauria Nandangarh",Ranchi
"Lauria Nandangarh",Gaya
"Lauria Nandangarh",Kolkata
"Lauria Nandangarh",Varanasi
Bhamane,Mumbai
Bhamane,Bhopal
Bhamane,Pune
Bhamane,Ahmedabad
Bhamane,Indore
Bhamane,Vadodara
Bhamane,Aurangabad
Dharampur,Amritsar
Dharampur,Dehradun
Dharampur,Chandigarh
Dharampur,"New Delhi"
Damrughutu,Patna
Damrughutu,Ranchi
Damrughutu,Gaya
Damrughutu,Kolkata
Gola(Ramgarh),Patna
Gola(Ramgarh),Ranchi
Gola(Ramgarh),Gaya
Gola(Ramgarh),Kolkata
Bhawnathpur,Patna
Bhawnathpur,Lucknow
Bhawnathpur,Gaya
Bhawnathpur,"New Delhi"
Bhawnathpur,Varanasi
Kohali,Bhopal
Kohali,Hyderabad
Kohali,Nagpur
"Shilloi Lake",Guwahati
"Shilloi Lake",Dibrugarh
"Shilloi Lake",Kolkata
"Shilloi Lake",Imphal
Devarapalli,Visakhapatnam
Devarapalli,Hyderabad
"Chak Parsotam Dhodha Das",Patna
"Chak Parsotam Dhodha Das",Lucknow
"Chak Parsotam Dhodha Das",Ranchi
"Chak Parsotam Dhodha Das",Gaya
"Chak Parsotam Dhodha Das",Kolkata
"Chak Parsotam Dhodha Das",Varanasi
"Deoria Meer",Patna
"Deoria Meer",Lucknow
"Deoria Meer",Ranchi
"Deoria Meer",Gaya
"Deoria Meer",Kolkata
"Deoria Meer",Varanasi
"Chhota Bhagiamariand Partaba",Guwahati
"Chhota Bhagiamariand Partaba",Bagdogra
"Chhota Bhagiamariand Partaba",Patna
"Chhota Bhagiamariand Partaba",Agartala
"Chhota Bhagiamariand Partaba",Ranchi
"Chhota Bhagiamariand Partaba",Gaya
"Chhota Bhagiamariand Partaba",Kolkata
Chembur,Mumbai
Chembur,Pune
"Kishan Ganj",Bagdogra
"Kishan Ganj",Patna
"Kishan Ganj",Gaya
"Kishan Ganj",Kolkata
Malipur,Patna
Malipur,Lucknow
Malipur,Gaya
Malipur,"New Delhi"
Malipur,Varanasi
Katarwar,Raipur
Katarwar,Patna
Katarwar,Lucknow
Katarwar,Ranchi
Katarwar,Gaya
Katarwar,"New Delhi"
Katarwar,Varanasi
Mandurai,Coimbatore
Mandurai,Madurai
Mandurai,Bengaluru
Mandurai,Tiruchirappalli
Ludhiana,Amritsar
Ludhiana,Jammu
Ludhiana,Dehradun
Ludhiana,Chandigarh
Ludhiana,"New Delhi"
Palsi,Mumbai
Palsi,Pune
Palsi,Dabolim
Palsi,Aurangabad
Ajayabpur,Dehradun
Ajayabpur,Jaipur
Ajayabpur,Chandigarh
Ajayabpur,"New Delhi"
Somnath,Mumbai
Somnath,Rajkot
Somnath,Ahmedabad
Somnath,Vadodara
Pirargaria,Bagdogra
Pirargaria,Patna
Pirargaria,Agartala
Pirargaria,Ranchi
Pirargaria,Gaya
Pirargaria,Kolkata
Karajgi,Kozhikode
Karajgi,Bengaluru
Karajgi,Dabolim
Karajgi,Mangalore
Khaigoan,Mumbai
Khaigoan,Bhopal
Khaigoan,Indore
Khaigoan,Vadodara
Khaigoan,Aurangabad
Khaigoan,Nagpur
Vemulapadu(Anantapuram),Coimbatore
Vemulapadu(Anantapuram),Chennai
Vemulapadu(Anantapuram),Tirupati
Vemulapadu(Anantapuram),Kozhikode
Vemulapadu(Anantapuram),Hyderabad
Vemulapadu(Anantapuram),Bengaluru
Vemulapadu(Anantapuram),Dabolim
Vemulapadu(Anantapuram),Mangalore
Dhulia(Dhule),Mumbai
Dhulia(Dhule),Bhopal
Dhulia(Dhule),Pune
Dhulia(Dhule),Ahmedabad
Dhulia(Dhule),Indore
Dhulia(Dhule),Vadodara
Dhulia(Dhule),Aurangabad
Loisingha,Raipur
Loisingha,Visakhapatnam
Loisingha,Bhubaneshwar
Loisingha,Ranchi
Loisingha,Kolkata
Nongpoh,Guwahati
Nongpoh,Agartala
Nongpoh,Kolkata
Nongpoh,Imphal
Loharpurwa,Patna
Loharpurwa,Lucknow
Loharpurwa,Gaya
Loharpurwa,"New Delhi"
Loharpurwa,Varanasi
Keledona,Ranchi
Keledona,Kolkata
"Karan Kudaria",Patna
"Karan Kudaria",Ranchi
"Karan Kudaria",Gaya
"Karan Kudaria",Kolkata
"Karan Kudaria",Varanasi
Baoli,Dehradun
Baoli,Jaipur
Baoli,Chandigarh
Baoli,"New Delhi"
Ganpatpura,Mumbai
Ganpatpura,Rajkot
Ganpatpura,Ahmedabad
Ganpatpura,Vadodara
Dhramatala,Bagdogra
Dhramatala,Agartala
Dhramatala,Ranchi
Dhramatala,Gaya
Dhramatala,Kolkata
Nileshwar,Coimbatore
Nileshwar,Kozhikode
Nileshwar,Bengaluru
Nileshwar,Mangalore
Nileshwar,Kochi
Authivilai,Madurai
Authivilai,Bengaluru
Authivilai,Thiruvananthapuram
Authivilai,Kochi
Sondewadi,Mumbai
Sondewadi,Pune
Sondewadi,Aurangabad
Panari,Patna
Panari,Lucknow
Panari,Ranchi
Panari,Gaya
Panari,Kolkata
Panari,Varanasi
"Gudikheda Ryt",Mumbai
"Gudikheda Ryt",Bhopal
"Gudikheda Ryt",Indore
